author,gender,birth_place,ethnicity,movement,education,notable_works,wiki_genre,awards,DOB,DOD,in_links,categories,summaries,average_rating,number_of_ratings,number_of_reviews,genre1,genre2,genre3
Susan Richards Shreve,female,Not Known,Not Known,Not Known,"['University of Pennsylvania', 'University of Virginia', 'Sidwell Friends School']",Not Known,Not Known,"['Guggenheim Fellowship', 'Edgar Awards']",1939,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', ""American children's writers"", ""American women children's writers"", 'American women novelists', 'Novelists from Virginia']","Susan Shreve (also known as Susan Richards Shreve) is an American novelist, memoirist, and children's book author. She has published fifteen novels, most recently More News Tomorrow (2019), and a memoir Warm Springs: Traces of a Childhood (2007). She has also published thirty books for children, most recently The Lovely Shoes (2011), and edited or co-edited five anthologies. Shreve co-founded the Master of Fine Arts (MFA) in Creative Writing program at George Mason University in 1980, where she teaches fiction writing. She is the co-founder and the former chairman of the PEN/Faulkner Foundation. She lives in Washington, D.C.",3.41,"5,029",807,Literature & Fiction,Childrens Books,Young Adult
Lionel Shriver,female,Gastonia,Not Known,Not Known,"['Barnard College', 'Columbia University', 'Columbia University School of the Arts']",['We Need to Talk About Kevin'],Not Known,"[""Women's Prize for Fiction""]",1957,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American non-fiction writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'Novelists from North Carolina']","Lionel Shriver (born Margaret Ann Shriver; May 18, 1957) is an American author and journalist who lives in the United Kingdom. Her novel We Need to Talk About Kevin won the Orange Prize for Fiction in 2005.",N/A,N/A,N/A,No Genre Information,N/A,N/A
Gary Shteyngart,male,Saint Petersburg,Not Known,Not Known,"['Hunter College', 'Oberlin College', 'Stuyvesant High School']",Not Known,Not Known,"['Bollinger Everyman Wodehouse Prize', 'Berlin Prize']",1972,Alive,"['Chang-Rae Lee', 'Walter Kirn']","['American male non-fiction writers', 'American male novelists', 'Exophonic writers', 'Jewish American novelists', 'Novelists from New Jersey', 'Novelists from New York (state)', 'Writers from Saint Petersburg']","Gary Shteyngart (English: ; born July 5, 1972) is a Soviet-born American writer. Much of his work is satirical.",3.47,"75,349","9,392",Literature & Fiction,Humor,N/A
Anne Rivers Siddons,female,Fairburn,Not Known,Not Known,['Auburn University'],Not Known,Not Known,Not Known,1936,2019,"['Pat Conroy', 'Stephen King']","['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'Novelists from Georgia (U.S. state)', 'Novelists from South Carolina', 'Writers from Atlanta', 'Writers from Charleston, South Carolina']","Anne Rivers Siddons (born Sybil Anne Rivers, January 9, 1936 – September 11, 2019) was an American novelist who wrote stories set in the southern United States.

",3.77,"123,160","7,661",N/A,N/A,N/A
Clancy Sigal,male,Chicago,Not Known,Not Known,"['University of California, Los Angeles']",Not Known,Not Known,Not Known,1926,2017,['Gore Vidal'],"['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'American male screenwriters', 'Jewish American novelists', 'Novelists from Illinois', 'Screenwriters from Illinois', 'Writers from Chicago']","Clancy Sigal (September 6, 1926 – July 16, 2017) was an American writer, and the author of dozens of essays and seven books, the best-known of which is the autobiographical novel Going Away (1961).

",3.52,250,52,N/A,N/A,N/A
Leslie Marmon Silko,female,Albuquerque,Pueblo,Not Known,['University of New Mexico'],['Ceremony'],Not Known,"['MacArthur Fellows Program', ""Native Writers' Circle of the Americas"", 'PEN Oakland/Josephine Miles Literary Award', 'American Book Awards']",1948,Alive,"['Al Young', 'Alice McDermott', 'Amiri Baraka', 'Ana Castillo', 'Chang-Rae Lee', 'Chitra Banerjee Divakaruni', 'Don DeLillo', 'Edwidge Danticat', 'Gary Soto', 'Gerald Vizenor', 'Gloria Naylor', 'Isabel Allende', 'J. California Cooper', 'James Welch (poet)', 'Jessica Hagedorn', 'John A. Williams', 'John Edgar Wideman', 'Josip Novakovich', 'Karen Tei Yamashita', 'Larry McMurtry', 'Louise Erdrich', 'Luís Alberto Urrea', 'May Sarton', 'N. Scott Momaday', 'Paule Marshall', 'Raymond Federman', 'Ronald Sukenick', 'Rudolfo Anaya', 'Russell Banks', 'Sandra Cisneros', 'Sandra Scofield', 'Sherman Alexie', 'Terry McMillan', 'Toni Cade Bambara', 'Toni Morrison', 'Trey Ellis', 'William H. Gass', 'William Kennedy (author)']","['20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', 'American Book Award winners', 'American women novelists', 'American women short story writers', 'Hispanic and Latino American novelists', 'Native American novelists', 'Native American short story writers', 'Native American women writers', 'Native American writers', 'Postmodern writers', 'Writers from Albuquerque, New Mexico']","Leslie Marmon Silko (born Leslie Marmon; born March 5, 1948) is an American writer. A Laguna Pueblo Indian woman, she is one of the key figures in the First Wave of what literary critic Kenneth Lincoln has called the Native American Renaissance.
Silko was a debut recipient of the MacArthur Foundation Grant in 1981. the Native Writers' Circle of the Americas Lifetime Achievement Award in 1994 and the Robert Kirsch Award in 2020. She currently resides in Tucson, Arizona.",3.87,"29,075","2,431",Literature & Fiction,N/A,N/A
Robert Silverberg,male,Brooklyn,Not Known,Not Known,"['Erasmus Hall High School', 'Columbia University']","['Dying Inside', 'Treasures beneath the sea']",science fiction,"['Hugo Award', 'Hugo Award for Best Novella', 'Nebula Award for Best Short Story', 'Nebula Award for Best Novel', 'Nebula Award for Best Short Story', 'Nebula Award for Best Novella', 'Locus Award for Best Novella', 'Nebula Award for Best Novella', 'Hugo Award for Best Novella', 'Hugo Award for Best Novelette', 'Damon Knight Memorial Grand Master Award', 'Cosmos 2000 Award', 'Premio Gigamesh', 'Science Fiction and Fantasy Hall of Fame', 'Geffen Award']",1935,Alive,"['Alfred Bester', 'Andre Norton', 'Anne McCaffrey', 'Ben Bova', 'C. J. Cherryh', 'Clifford D. Simak', 'Connie Willis', 'David Brin', 'Frederik Pohl', 'Fritz Leiber', 'Gene Wolfe', 'George R. R. Martin', 'Greg Bear', 'Hal Clement', 'Harry Harrison (writer)', 'Isaac Asimov', 'Jack Vance', 'Jack Williamson', 'Joe Haldeman', 'L. Sprague de Camp', 'Larry Niven', 'Lester del Rey', 'Marion Zimmer Bradley', 'Peter S. Beagle', 'Philip José Farmer', 'Poul Anderson', 'Ray Bradbury', 'Robert A. Heinlein', 'Robert Asprin', 'Ron Goulart', 'Samuel R. Delany', 'Ursula K. Le Guin', 'William Gibson']","['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', '21st-century American novelists', 'American alternate history writers', 'American erotica writers', 'American fantasy writers', 'American male novelists', 'American male short story writers', 'American science fiction writers', 'Hugo Award-winning writers', 'Jewish American novelists', 'Jewish American short story writers', 'Novelists from New York (state)', 'Writers from Brooklyn']","Robert Silverberg (born January 15, 1935) is an American author and editor, best known for writing science fiction. He is a multiple winner of both Hugo and Nebula Awards, a member of the Science Fiction and Fantasy Hall of Fame, and a Grand Master of SF. He has attended every Hugo Awards ceremony since the inaugural event in 1953.",3.88,"210,206","14,702",Science Fiction,Fantasy,N/A
Clifford D. Simak,male,Millville,Not Known,Not Known,['University of Wisconsin–Madison'],['Way Station'],science fiction,"['International Fantasy Award', 'Hugo Award for Best Novelette', 'Hugo Award for Best Novel', 'Jupiter Award', 'Nebula Award for Best Short Story', 'Hugo Award for Best Short Story', 'Locus Award for Best Short Story', 'First Fandom Hall of Fame award', 'Damon Knight Memorial Grand Master Award', 'Bram Stoker Award']",1904,1988,"['Alfred Bester', 'Andre Norton', 'Anne McCaffrey', 'Anne Rice', 'C. J. Cherryh', 'Chelsea Quinn Yarbro', 'Connie Willis', 'E. E. Smith', 'Frank Belknap Long', 'Frederik Pohl', 'Fritz Leiber', 'Gene Wolfe', 'Hal Clement', 'Harry Harrison (writer)', 'Ira Levin', 'Isaac Asimov', 'Jack Ketchum', 'Jack Vance', 'Jack Williamson', 'Joe Haldeman', 'Joe R. Lansdale', 'John W. Campbell', 'Joyce Carol Oates', 'L. Sprague de Camp', 'Larry Niven', 'Lester del Rey', 'Peter S. Beagle', 'Peter Straub', 'Philip José Farmer', 'Poul Anderson', 'R. L. Stine', 'Ray Bradbury', 'Richard Matheson', 'Robert A. Heinlein', 'Robert Bloch', 'Robert Silverberg', 'Samuel R. Delany', 'Stephen King', 'Thomas Harris', 'Ursula K. Le Guin', 'William Gibson', 'William Peter Blatty']","['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', 'American male non-fiction writers', 'American male novelists', 'American male short story writers', 'American science fiction writers', 'Hugo Award-winning writers', 'Novelists from Minnesota', 'Novelists from Wisconsin', 'Writers from Minneapolis']","Clifford Donald Simak (; August 3, 1904 – April 25, 1988) was an American science fiction writer. He won three Hugo Awards and one Nebula Award. The Science Fiction Writers of America made him its third SFWA Grand Master, and the Horror Writers Association made him one of three inaugural winners of the Bram Stoker Award for Lifetime Achievement.

",3.97,"91,190","6,148",Science Fiction,N/A,N/A
Dan Simmons,male,Peoria,Not Known,Not Known,"['Washington University in St.\xa0Louis', 'Wabash College']","['Song of Kali', 'Hyperion']",science fiction,"[""Grand Prix de l'Imaginaire"", 'Bob Morane Prize', 'World Fantasy Award for Best Novel', 'Bram Stoker Award for Novel', 'August Derleth Award', 'Hugo Award for Best Novel', 'Locus Award for Best Science Fiction Novel', 'Locus Award for Best Science Fiction Novel', 'World Fantasy Award for Best Short Fiction', 'Locus Award for Best Science Fiction Novel', 'Tähtivaeltaja Award', 'Locus Award for Best Science Fiction Novel', 'Cosmos 2000 Award', 'Premio Gigamesh', 'Premio Gigamesh']",1948,Alive,"['Avram Davidson', 'Connie Willis', 'Fred Chappell', 'Fritz Leiber', 'George Saunders', 'Joe Haldeman', 'John M. Ford', 'Jonathan Carroll', 'Joyce Carol Oates', 'Karen Joy Fowler', 'Nancy Holder', 'Peter Straub', 'Robert R. McCammon', 'Stephen King', 'Steven Millhauser', 'Thomas Harris']","['20th-century American male writers', '20th-century American novelists', '21st-century American male writers', '21st-century American novelists', 'American horror writers', 'American male novelists', 'American male short story writers', 'American science fiction writers', 'American short story writers', 'Hugo Award-winning writers', 'Novelists from Illinois', 'World Fantasy Award-winning writers', 'Writers from Peoria, Illinois']","Dan Simmons (born April 4, 1948) is an American science fiction and horror writer. He is the author of the  Hyperion Cantos and the  Ilium/Olympos cycles, among other works which span the science fiction, horror, and fantasy genres, sometimes within a single novel. Simmons's genre-intermingling Song of Kali (1985) won the World Fantasy Award. He also writes mysteries and thrillers, some of which feature the continuing character Joe Kurtz.",4.08,"655,793","36,268",Science Fiction,Fantasy,N/A
William Gilmore Simms,male,Charleston,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1806,1870,"['Edgar Allan Poe', 'James Fenimore Cooper']","['19th-century American male writers', '19th-century American novelists', 'American male novelists', 'Novelists from South Carolina', 'Writers from Charleston, South Carolina', 'Writers of American Southern literature']","William Gilmore Simms (April 17, 1806 – June 11, 1870) was an American writer and politician from the American South. Poet, novelist, and historian, his History of South Carolina served as the definitive textbook on state history for much of the 20th century. Literary scholars consider him a major force in antebellum Southern literature; in 1845 Edgar Allan Poe pronounced him the best novelist America had ever produced. Throughout much of his literary career he served as editor of several journals and newspapers.  He also served in the South Carolina House of Representatives from 1844–1846.",3.76,465,55,N/A,N/A,N/A
Mona Simpson,female,Green Bay,Not Known,Not Known,"['University of California, Berkeley', 'Columbia University', 'Beverly Hills High School', 'Columbia University School of the Arts']",['Anywhere But Here'],novel,"['Guggenheim Fellowship', 'Heartland Prize']",1957,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American women novelists', 'American writers of Syrian descent', 'Novelists from New York (state)', 'Novelists from Wisconsin', 'Writers from Green Bay, Wisconsin']","Mona Simpson (née Jandali; June 14, 1957) is an American novelist. She has written six novels and studied English at the University of California, Berkeley and Languages and Literature at Columbia University.
She won a Whiting Award for her first novel, Anywhere but Here (1986). It was a popular success and adapted as a film by the same name, released in 1999. She wrote a sequel, The Lost Father (1992). Critical recognition has included the Chicago Tribune Heartland Prize and making the shortlist for the PEN/Faulkner Award for her novel Off Keck Road (2000).
Simpson is the younger sister of the late Apple co-founder Steve Jobs. Simpson was born after her parents had married and did not meet Jobs, who was placed for adoption after he was born, until she was 25 years old.",3.52,"10,462","1,396",Literature & Fiction,Women & Gender Studies,N/A
Elizabeth Sims,female,Wyandotte,Not Known,Not Known,"['Wayne State University', 'Michigan State University']",Not Known,Not Known,['Lambda Literary Award'],1957,Alive,[],"['21st-century American novelists', '21st-century American short story writers', '21st-century American women writers', 'American mystery writers', 'American women novelists', 'American women short story writers', 'Novelists from Michigan', 'Women mystery writers']","Elizabeth Sims (born September 30, 1957) is an American writer, journalist, and contributing editor at Writer's Digest magazine. She is a former correspondent for the Sarasota Herald-Tribune and author of two series of crime novels, including her Rita Farmer Mystery Series, originally published by St. Martin's Press Minotaur and Lillian Byrd Crime Series, originally published by Alyson Books. She has also published a stand-alone novel, Crimes in a Second Language, under her personal imprint, Spruce Park Press. Crimes in a Second Language was awarded the Silver Medal for General Fiction in the Florida Book Awards 2017. Her nonfiction works include You've Got a Book in You: A Stress-Free Guide to Writing the Book of Your Dreams, published by Writer's Digest Books, articles, short stories, poems, and essays for magazines and books. She also serves as a coach and mentor for new and aspiring writers and offers keynote speeches and presents workshops at writer's conferences around North America.",3.94,"1,974",296,Mystery,Gay and Lesbian,Nonfiction
Upton Sinclair,male,Baltimore,Not Known,Not Known,"['Columbia University', 'City College of New York']","['The Jungle', 'King Coal', 'Oil!']",Not Known,['Pulitzer Prize for Fiction'],1878,1968,"['A. B. Guthrie Jr.', 'Adam Johnson (writer)', 'Alice Walker', 'Alison Lurie', 'Allen Drury', 'Andrew Sean Greer', 'Anne Tyler', 'Bernard Malamud', 'Booth Tarkington', 'Carol Shields', 'Caroline Pafford Miller', 'Colson Whitehead', 'Conrad Richter', 'Cormac McCarthy', 'Dashiell Hammett', 'Donna Tartt', 'Edith Wharton', 'Edna Ferber', 'Edward Bellamy', 'Edward P. Jones', ""Edwin O'Connor"", 'Elizabeth Strout', 'Ellen Glasgow', 'Ernest Hemingway', 'Ernest Poole', 'Eudora Welty', 'Geraldine Brooks (writer)', 'H. L. Davis', 'Harper Lee', 'Harry Turtledove', 'Herman Wouk', 'Jack London', 'James A. Michener', 'James Agee', 'James Gould Cozzens', 'Jane Smiley', 'Jean Stafford', 'Jeffrey Eugenides', 'Jennifer Egan', 'Jhumpa Lahiri', 'John Cheever', 'John Hersey', 'John Kennedy Toole', 'John P. Marquand', 'John Steinbeck', 'John Updike', 'Joyce Carol Oates', 'Julia Peterkin', 'Katherine Anne Porter', 'Kenneth Fearing', 'Larry McMurtry', 'Louis Bromfield', 'Louise Erdrich', 'MacKinlay Kantor', 'Margaret Ayer Barnes', 'Margaret Mitchell', 'Margaret Wilson (novelist)', 'Marilynne Robinson', 'Marjorie Kinnan Rawlings', 'Martin Flavin', 'Michael Chabon', 'Michael Cunningham', 'Michael Shaara', 'N. Scott Momaday', 'Norman Mailer', 'Oliver La Farge', 'Oscar Hijuelos', 'Paul Harding (author)', 'Pearl S. Buck', 'Philip Roth', 'Richard Ford', 'Richard Powers', 'Richard Russo', 'Robert A. Heinlein', 'Robert Lewis Taylor', 'Robert Olen Butler', 'Robert Penn Warren', 'Saul Bellow', 'Shirley Ann Grau', 'Sinclair Lewis', 'Steven Millhauser', 'Theodore Dreiser', 'Thomas Sigismund Stribling', 'Thornton Wilder', 'Toni Morrison', 'Wallace Stegner', 'Willa Cather', 'William Faulkner', 'William Kennedy (author)', 'William Styron']","['19th-century American male writers', '19th-century American novelists', '20th-century American male writers', '20th-century American novelists', 'American male non-fiction writers', 'American male novelists', 'Novelists from Maryland', 'Novelists from New York (state)', 'Pulitzer Prize for the Novel winners', 'Writers from Baltimore', 'Writers from California']","Upton Beall Sinclair Jr. (September 20, 1878 – November 25, 1968) was an American writer, political activist and the 1934 Democratic Party nominee for Governor of California who wrote nearly 100 books and other works in several genres. Sinclair's work was well known and popular in the first half of the 20th century, and he won the Pulitzer Prize for Fiction in 1943.
In 1906, Sinclair acquired particular fame for his classic muck-raking novel The Jungle, which exposed labor and sanitary conditions in the U.S. meatpacking industry, causing a public uproar that contributed in part to the passage a few months later of the 1906 Pure Food and Drug Act and the Meat Inspection Act. In 1919, he published The Brass Check, a muck-raking exposé of American journalism that publicized the issue of yellow journalism and the limitations of the ""free press"" in the United States. Four years after publication of The Brass Check, the first code of ethics for journalists was created. Time magazine called him ""a man with every gift except humor and silence"". He is also well remembered for the line: ""It is difficult to get a man to understand something, when his salary depends upon his not understanding it."" He used this line in speeches and the book about his campaign for governor as a way to explain why the editors and publishers of the major newspapers in California would not treat seriously his proposals for old age pensions and other progressive reforms.Many of his novels can be read as historical works. Writing during the Progressive Era, Sinclair describes the world of the industrialized United States from both the working man's and the industrialist's points of view. Novels such as King Coal (1917), The Coal War (published posthumously), Oil! (1927), and The Flivver King (1937) describe the working conditions of the coal, oil, and auto industries at the time.
The Flivver King describes the rise of Henry Ford, his ""wage reform"" and his company's Sociological Department, to his decline into antisemitism as publisher of The Dearborn Independent. King Coal confronts John D. Rockefeller Jr., and his role in the 1914 Ludlow Massacre in the coal fields of Colorado.
Sinclair was an outspoken socialist and ran unsuccessfully for Congress as a nominee from the Socialist Party. He was also the Democratic Party candidate for Governor of California during the Great Depression, running under the banner of the End Poverty in California campaign, but was defeated in the 1934 elections.

",3.76,"147,035","7,739",Literature & Fiction,N/A,N/A
Isaac Bashevis Singer,male,Leoncin,Jewish American,Not Known,Not Known,"['The Magician of Lublin', 'Gimpel the Fool']",Not Known,"['Nobel Prize in Literature', 'National Book Award', 'Itzik Manger Prize', 'Buber-Rosenzweig-Medal', 'honorary doctor of Ben-Gurion University']",1902,1991,"['Abraham Cahan', 'Alex Haley', 'Bernard Malamud', 'Conrad Richter', 'Elizabeth Strout', 'Ernest Hemingway', ""Flannery O'Connor"", 'Gary Jennings (author)', 'Israel Joshua Singer', 'J. F. Powers', 'James Jones (author)', 'John Barth', 'John Cheever', 'John Edward Williams', 'John Grisham', ""John O'Hara"", 'John Steinbeck', 'John Updike', 'Joyce Carol Oates', 'Katherine Anne Porter', 'Michael Connelly', 'Nelson Algren', 'Pearl S. Buck', 'Philip Roth', 'Ralph Ellison', 'Saul Bellow', 'Sinclair Lewis', 'Thomas Pynchon', 'Thornton Wilder', 'Toni Morrison', 'Walker Percy', 'William Faulkner', 'Wright Morris']","['20th-century American male writers', '20th-century American novelists', '20th-century American short story writers', ""American children's writers"", 'American male non-fiction writers', 'American male novelists', 'American male short story writers', 'Jewish American novelists', 'Jewish American short story writers', 'Jewish American writers', 'Magic realism writers', ""National Book Award for Young People's Literature winners"", 'National Book Award winners', 'Novelists from New York (state)', ""Polish children's writers"", 'Yiddish-language writers']","Isaac Bashevis Singer (Yiddish: יצחק באַשעװיס זינגער‎; November 11, 1903 – July 24, 1991) was a Polish-born Jewish-American writer who wrote and published exclusively in Yiddish. He was awarded the Nobel Prize for Literature in 1978. A leading figure in the Yiddish literary movement, he was awarded two U.S. National Book Awards, one in Children's Literature for his memoir A Day Of Pleasure: Stories of a Boy Growing Up in Warsaw (1970) and one in Fiction for his collection A Crown of Feathers and Other Stories (1974).",4.05,"41,064","3,315",Science Fiction & Fantasy,Literature & Fiction,Science
Israel Joshua Singer,male,Biłgoraj,Not Known,Not Known,Not Known,"['The Brothers Ashkenazi', 'Q9311632']",Not Known,Not Known,1893,1944,"['Abraham Cahan', 'Isaac Bashevis Singer']","['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'Jewish American writers', 'Yiddish-language writers']","Israel Joshua Singer (Yiddish: ישראל יהושע זינגער ; November 30, 1893, Biłgoraj, Congress Poland — February 10, 1944 New York) was a Polish-Jewish novelist who wrote in Yiddish.

",4.29,14,0,N/A,N/A,N/A
Joan Slonczewski,female,Hyde Park,Not Known,Not Known,"['Yale University', 'University of Pennsylvania', 'Bryn Mawr College', 'John Jay High School']",Not Known,Not Known,Not Known,1956,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American feminist writers', 'American science fiction writers', 'American women novelists', 'Novelists from Ohio', 'Women science fiction and fantasy writers']","Joan Lyn Slonczewski (they/them) is an American microbiologist at Kenyon College and a science fiction writer who explores biology and space travel. Their books have twice earned the John W. Campbell Memorial Award for Best Science Fiction Novel: A Door into Ocean (1987) and The Highest Frontier (2011). With John W. Foster they coauthored the textbook, Microbiology: An Evolving Science (W. W. Norton). They explore ideas of biology, politics, and artificial intelligence at their blog Ultraphyte.",3.91,"5,534",636,Science Fiction & Fantasy,N/A,N/A
Jane Smiley,female,Los Angeles,Not Known,Not Known,"['University of Iowa', 'Vassar College', 'John Burroughs School']",Not Known,Not Known,"['Fulbright Scholarship', 'Heartland Prize', 'O. Henry Award']",1949,Alive,"['A. B. Guthrie Jr.', 'Adam Johnson (writer)', 'Alice Walker', 'Alison Lurie', 'Allen Drury', 'Andrew Sean Greer', 'Anne Tyler', 'Bernard Malamud', 'Booth Tarkington', 'Carol Shields', 'Caroline Pafford Miller', 'Colson Whitehead', 'Conrad Richter', 'Cormac McCarthy', 'Donna Tartt', 'Edith Wharton', 'Edna Ferber', 'Edward P. Jones', ""Edwin O'Connor"", 'Elizabeth Strout', 'Ellen Glasgow', 'Ernest Hemingway', 'Ernest Poole', 'Eudora Welty', 'Geraldine Brooks (writer)', 'H. L. Davis', 'Harper Lee', 'Herman Wouk', 'James A. Michener', 'James Agee', 'James Gould Cozzens', 'Jean Stafford', 'Jeffrey Eugenides', 'Jennifer Egan', 'Jhumpa Lahiri', 'John Cheever', 'John Hersey', 'John Kennedy Toole', 'John P. Marquand', 'John Steinbeck', 'John Updike', 'Jonathan Franzen', 'Julia Peterkin', 'Katherine Anne Porter', 'Larry McMurtry', 'Louis Bromfield', 'Louise Erdrich', 'MacKinlay Kantor', 'Margaret Ayer Barnes', 'Margaret Mitchell', 'Margaret Wilson (novelist)', 'Marilynne Robinson', 'Marjorie Kinnan Rawlings', 'Martin Flavin', 'Michael Chabon', 'Michael Cunningham', 'Michael Shaara', 'N. Scott Momaday', 'Norman Mailer', 'Oliver La Farge', 'Oscar Hijuelos', 'Paul Harding (author)', 'Pearl S. Buck', 'Philip Roth', 'Richard Ford', 'Richard Powers', 'Richard Russo', 'Robert Lewis Taylor', 'Robert Olen Butler', 'Robert Penn Warren', 'Saul Bellow', 'Shirley Ann Grau', 'Sinclair Lewis', 'Steven Millhauser', 'Thomas Sigismund Stribling', 'Thornton Wilder', 'Toni Morrison', 'Upton Sinclair', 'Wallace Stegner', 'Willa Cather', 'William Faulkner', 'William Kennedy (author)', 'William Styron']","['20th-century American non-fiction writers', '20th-century American novelists', '20th-century American short story writers', '20th-century American women writers', '21st-century American non-fiction writers', '21st-century American novelists', '21st-century American short story writers', '21st-century American women writers', 'American women non-fiction writers', 'American women novelists', 'American women short story writers', ""Iowa Writers' Workshop alumni"", ""Iowa Writers' Workshop faculty"", 'Novelists from Iowa', 'Novelists from Missouri', 'Women mystery writers']","Jane Smiley (born September 26, 1949) is an American novelist. She won the Pulitzer Prize for Fiction in 1992 for her novel A Thousand Acres (1991).",3.74,"160,390","14,861",Literature & Fiction,Short Stories,Nonfiction
Betty Smith,female,Brooklyn,Not Known,Not Known,['University of Michigan'],['A Tree Grows in Brooklyn'],Not Known,['Hopwood Award'],1896,1972,['Joan Blondell'],"['20th-century American novelists', '20th-century American women writers', 'American women novelists', 'Novelists from New York (state)', 'Writers from Brooklyn']","Betty Smith (born Elisabeth Lillian Wehner; December 15, 1896 – January 17, 1972) was an American author. She is best known for her 1943 bestselling book A Tree Grows in Brooklyn.",4.26,"419,402","23,410",Literature & Fiction,N/A,N/A
E. E. Smith,male,Sheboygan,Not Known,Not Known,"['George Washington University', 'University of Idaho']",['Lensman series'],space opera,"['William James Fellow Award', 'Science Fiction and Fantasy Hall of Fame']",1890,1965,"['Edgar Allan Poe', 'Edgar Rice Burroughs', 'Frederik Pohl', 'H. P. Lovecraft', 'Harry Harrison (writer)', 'Jack Williamson', 'John W. Campbell', 'L. Sprague de Camp', 'Murray Leinster', 'Robert A. Heinlein', 'Sinclair Lewis']","['20th-century American male writers', '20th-century American novelists', 'American male novelists', 'American science fiction writers', 'Novelists from Idaho', 'Novelists from Wisconsin', 'Pulp fiction writers', 'Writers from Boise, Idaho']","Edward Elmer Smith (May 2, 1890 – August 31, 1965), publishing as E. E. Smith, Ph.D. and later as E. E. ""Doc"" Smith, was an American food engineer (specializing in doughnut and pastry mixes) and science-fiction author, best known for the Lensman and Skylark series. He is sometimes called the father of space opera.",3.84,"38,955","1,808",Science Fiction,Fantasy,N/A
Elizabeth Oakes Smith,female,North Yarmouth,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1806,1893,['John Neal (writer)'],['19th-century American women writers'],"Elizabeth Oakes Smith (August 12, 1806 – November 16, 1893) was a poet, fiction writer, editor, lecturer, and women's rights activist whose career spanned six decades, from the 1830s to the 1880s.   Most well-known at the start of her professional career for her poem ""The Sinless Child"" which appeared in the Southern Literary Messenger in 1842, her reputation today rests on her feminist writings, including ""Woman and Her Needs"", a series of essays published in the New York Tribune between 1850 and 1851 that argued for women's spiritual and intellectual capacities as well as women's equal rights to political and economic opportunities, including rights of franchise and higher education.",3.78,23,2,Poetry,Fiction,N/A
Francis Hopkinson Smith,male,Baltimore,Not Known,Not Known,"[""Boys' Latin School of Maryland""]",Not Known,Not Known,Not Known,1838,1915,[],"['19th-century American male writers', '19th-century American novelists', '20th-century American male writers', '20th-century American novelists', 'American male novelists']","Francis Hopkinson Smith (October 23, 1838 – April 7, 1915) was a United States author, artist and engineer. He built the foundation for the Statue of Liberty, wrote many famous stories and received awards for his paintings.",3.72,241,52,N/A,N/A,N/A
H. Allen Smith,male,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,1907,1976,['James Thurber'],"['20th-century American male writers', '20th-century American non-fiction writers']","Harry Allen Wolfgang Smith (December 19, 1907—February 24, 1976) was an American journalist, humorist, and author whose books were popular in the 1940s and 1950s.

",4.04,539,70,Humor,N/A,N/A
Haywood Smith,female,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Alive,[],"['20th-century American novelists', '20th-century American women writers', '21st-century American novelists', '21st-century American women writers', 'American historical novelists', 'American romantic fiction novelists', 'American women novelists', 'Novelists from Georgia (U.S. state)', 'Women historical novelists', 'Women romantic fiction writers']",Haywood Smith is an American author. She lives in Georgia.,3.66,"12,599","1,434",Historical Fiction,Humor and Comedy,Self Help
