from,to
Sandra Scofield,William Kennedy
Sandra Scoppettone,Louise Fitzhugh
Daniel Scott,Christopher Isherwood
Joanna Scott,John Hawkes
Joanna Scott,Maureen Howard
Joanna Scott,Robert Coover
Joanna Scott,Stephen Minot
Joanna Scott,Susan Sontag
Joanna Scott,William Faulkner
Allan Seager,Ernest Hemingway
Allan Seager,James Dickey
Allan Seager,Sherwood Anderson
Molly Elliot Seawell,Jack London
Molly Elliot Seawell,Theodore Dreiser
Molly Elliot Seawell,William Dean Howells
Catharine Sedgwick,Edgar Allan Poe
Catharine Sedgwick,James Fenimore Cooper
Erich Segal,Larry McMurtry
Erich Segal,Mario Puzo
Erich Segal,William Peter Blatty
Lore Segal,Cynthia Ozick
Lore Segal,Francine Prose
Lore Segal,Jennifer Egan
Lore Segal,Michael Cunningham
Mary Lee Settle,Alice McDermott
Mary Lee Settle,Alice Walker
Mary Lee Settle,Andrea Barrett
Mary Lee Settle,Annie Proulx
Mary Lee Settle,Charles Frazier
Mary Lee Settle,Charles R. Johnson
Mary Lee Settle,Cormac McCarthy
Mary Lee Settle,Don DeLillo
Mary Lee Settle,E. L. Doctorow
Mary Lee Settle,Ellen Gilchrist
Mary Lee Settle,Eudora Welty
Mary Lee Settle,Ha Jin
Mary Lee Settle,John Casey
Mary Lee Settle,John Cheever
Mary Lee Settle,John Irving
Mary Lee Settle,John Updike
Mary Lee Settle,Larry Heinemann
Mary Lee Settle,Norman Rush
Mary Lee Settle,Pete Dexter
Mary Lee Settle,Philip Roth
Mary Lee Settle,Robert Stone
Mary Lee Settle,Thomas Williams
Mary Lee Settle,Tim O'Brien
Mary Lee Settle,Wallace Stegner
Mary Lee Settle,William Gaddis
Mary Lee Settle,William Maxwell
Mary Lee Settle,William Styron
Mary Lee Settle,Wright Morris
Michael Shaara,A. B. Guthrie Jr.
Michael Shaara,Adam Johnson
Michael Shaara,Alice Walker
Michael Shaara,Alison Lurie
Michael Shaara,Allen Drury
Michael Shaara,Andrew Sean Greer
Michael Shaara,Anne Tyler
Michael Shaara,Annie Proulx
Michael Shaara,Bernard Malamud
Michael Shaara,Booth Tarkington
Michael Shaara,Carol Shields
Michael Shaara,Caroline Pafford Miller
Michael Shaara,Colson Whitehead
Michael Shaara,Conrad Richter
Michael Shaara,Cormac McCarthy
Michael Shaara,Donna Tartt
Michael Shaara,Edith Wharton
Michael Shaara,Edna Ferber
Michael Shaara,Edward P. Jones
Michael Shaara,Edwin O'Connor
Michael Shaara,Elizabeth Strout
Michael Shaara,Ellen Glasgow
Michael Shaara,Ernest Hemingway
Michael Shaara,Ernest Poole
Michael Shaara,Eudora Welty
Michael Shaara,Geraldine Brooks
Michael Shaara,H. L. Davis
Michael Shaara,Harper Lee
Michael Shaara,Herman Wouk
Michael Shaara,James A. Michener
Michael Shaara,James Agee
Michael Shaara,James Gould Cozzens
Michael Shaara,Jane Smiley
Michael Shaara,Jean Stafford
Michael Shaara,Jeffrey Eugenides
Michael Shaara,Jennifer Egan
Michael Shaara,Jhumpa Lahiri
Michael Shaara,John Cheever
Michael Shaara,John Hersey
Michael Shaara,John Kennedy Toole
Michael Shaara,John P. Marquand
Michael Shaara,John Steinbeck
Michael Shaara,John Updike
Michael Shaara,Josephine Winslow Johnson
Michael Shaara,Julia Peterkin
Michael Shaara,Katherine Anne Porter
Michael Shaara,Larry McMurtry
Michael Shaara,Louis Bromfield
Michael Shaara,Louise Erdrich
Michael Shaara,MacKinlay Kantor
Michael Shaara,Margaret Ayer Barnes
Michael Shaara,Margaret Mitchell
Michael Shaara,Margaret Wilson
Michael Shaara,Marilynne Robinson
Michael Shaara,Marjorie Kinnan Rawlings
Michael Shaara,Martin Flavin
Michael Shaara,Michael Chabon
Michael Shaara,Michael Cunningham
Michael Shaara,N. Scott Momaday
Michael Shaara,Norman Mailer
Michael Shaara,Oliver La Farge
Michael Shaara,Oscar Hijuelos
Michael Shaara,Paul Harding
Michael Shaara,Pearl S. Buck
Michael Shaara,Philip Roth
Michael Shaara,Richard Ford
Michael Shaara,Richard Powers
Michael Shaara,Richard Russo
Michael Shaara,Robert Lewis Taylor
Michael Shaara,Robert Olen Butler
Michael Shaara,Robert Penn Warren
Michael Shaara,Saul Bellow
Michael Shaara,Shirley Ann Grau
Michael Shaara,Sinclair Lewis
Michael Shaara,Steven Millhauser
Michael Shaara,T. S. Stribling
Michael Shaara,Thornton Wilder
Michael Shaara,Toni Morrison
Michael Shaara,Upton Sinclair
Michael Shaara,Wallace Stegner
Michael Shaara,Willa Cather
Michael Shaara,William Faulkner
Michael Shaara,William Kennedy
Michael Shaara,William Styron
Ntozake Shange,Amiri Baraka
Ntozake Shange,Ishmael Reed
Akhil Sharma,Edward P. Jones
Akhil Sharma,Gary Shteyngart
Akhil Sharma,Joyce Carol Oates
Akhil Sharma,Paul Auster
Akhil Sharma,Russell Banks
Akhil Sharma,Toni Morrison
Irwin Shaw,Dalton Trumbo
Robert Shea,Robert Anton Wilson
Sidney Sheldon,Budd Schulberg
Sidney Sheldon,Jeremy Larner
Sidney Sheldon,William Goldman
Sidney Sheldon,William Inge
Jim Shepard,Charles Baxter
Jim Shepard,Ron Hansen
Carol Shields,A. B. Guthrie Jr.
Carol Shields,Adam Johnson
Carol Shields,Alice Walker
Carol Shields,Alison Lurie
Carol Shields,Allen Drury
Carol Shields,Andrew Sean Greer
Carol Shields,Anne Tyler
Carol Shields,Annie Proulx
Carol Shields,Bernard Malamud
Carol Shields,Blanche Willis Howard
Carol Shields,Booth Tarkington
Carol Shields,Caroline Pafford Miller
Carol Shields,Colson Whitehead
Carol Shields,Conrad Richter
Carol Shields,Cormac McCarthy
Carol Shields,Donna Tartt
Carol Shields,Edith Wharton
Carol Shields,Edna Ferber
Carol Shields,Edward P. Jones
Carol Shields,Edwin O'Connor
Carol Shields,Elizabeth Strout
Carol Shields,Ellen Glasgow
Carol Shields,Ernest Hemingway
Carol Shields,Ernest Poole
Carol Shields,Eudora Welty
Carol Shields,Geraldine Brooks
Carol Shields,H. L. Davis
Carol Shields,Harper Lee
Carol Shields,Herman Wouk
Carol Shields,James A. Michener
Carol Shields,James Agee
Carol Shields,James Gould Cozzens
Carol Shields,Jane Smiley
Carol Shields,Jean Stafford
Carol Shields,Jeffrey Eugenides
Carol Shields,Jennifer Egan
Carol Shields,Jhumpa Lahiri
Carol Shields,John Cheever
Carol Shields,John Hersey
Carol Shields,John Kennedy Toole
Carol Shields,John P. Marquand
Carol Shields,John Steinbeck
Carol Shields,John Updike
Carol Shields,Josephine Winslow Johnson
Carol Shields,Julia Peterkin
Carol Shields,Katherine Anne Porter
Carol Shields,Larry McMurtry
Carol Shields,Louis Bromfield
Carol Shields,Louise Erdrich
Carol Shields,MacKinlay Kantor
Carol Shields,Margaret Ayer Barnes
Carol Shields,Margaret Mitchell
Carol Shields,Margaret Wilson
Carol Shields,Marilynne Robinson
Carol Shields,Marjorie Kinnan Rawlings
Carol Shields,Martin Flavin
Carol Shields,Michael Chabon
Carol Shields,Michael Cunningham
Carol Shields,Michael Shaara
Carol Shields,N. Scott Momaday
Carol Shields,Norman Mailer
Carol Shields,Oliver La Farge
Carol Shields,Oscar Hijuelos
Carol Shields,Paul Harding
Carol Shields,Pearl S. Buck
Carol Shields,Philip Roth
Carol Shields,Richard Ford
Carol Shields,Richard Powers
Carol Shields,Richard Russo
Carol Shields,Robert Lewis Taylor
Carol Shields,Robert Olen Butler
Carol Shields,Robert Penn Warren
Carol Shields,Saul Bellow
Carol Shields,Shirley Ann Grau
Carol Shields,Sinclair Lewis
Carol Shields,Steven Millhauser
Carol Shields,T. S. Stribling
Carol Shields,Thornton Wilder
Carol Shields,Toni Morrison
Carol Shields,Upton Sinclair
Carol Shields,Wallace Stegner
Carol Shields,Willa Cather
Carol Shields,William Faulkner
Carol Shields,William Kennedy
Carol Shields,William Styron
Gary Shteyngart,Chang-Rae Lee
Gary Shteyngart,Walter Kirn
Anne Rivers Siddons,Pat Conroy
Anne Rivers Siddons,Stephen King
Clancy Sigal,Gore Vidal
Leslie Marmon Silko,Al Young
Leslie Marmon Silko,Alice McDermott
Leslie Marmon Silko,Amiri Baraka
Leslie Marmon Silko,Ana Castillo
Leslie Marmon Silko,Chang-Rae Lee
Leslie Marmon Silko,Chitra Banerjee Divakaruni
Leslie Marmon Silko,Don DeLillo
Leslie Marmon Silko,Edwidge Danticat
Leslie Marmon Silko,Gary Soto
Leslie Marmon Silko,Gerald Vizenor
Leslie Marmon Silko,Gloria Anzaldúa
Leslie Marmon Silko,Gloria Naylor
Leslie Marmon Silko,Isabel Allende
Leslie Marmon Silko,J. California Cooper
Leslie Marmon Silko,James Welch
Leslie Marmon Silko,Jessica Hagedorn
Leslie Marmon Silko,John A. Williams
Leslie Marmon Silko,John Edgar Wideman
Leslie Marmon Silko,Josip Novakovich
Leslie Marmon Silko,Karen Tei Yamashita
Leslie Marmon Silko,Larry McMurtry
Leslie Marmon Silko,Louise Erdrich
Leslie Marmon Silko,Luís Alberto Urrea
Leslie Marmon Silko,May Sarton
Leslie Marmon Silko,N. Scott Momaday
Leslie Marmon Silko,Paule Marshall
Leslie Marmon Silko,Raymond Federman
Leslie Marmon Silko,Ronald Sukenick
Leslie Marmon Silko,Rudolfo Anaya
Leslie Marmon Silko,Russell Banks
Leslie Marmon Silko,Sandra Cisneros
Leslie Marmon Silko,Sandra Scofield
Leslie Marmon Silko,Sherman Alexie
Leslie Marmon Silko,Terry McMillan
Leslie Marmon Silko,Toni Cade Bambara
Leslie Marmon Silko,Toni Morrison
Leslie Marmon Silko,Trey Ellis
Leslie Marmon Silko,William H. Gass
Leslie Marmon Silko,William Kennedy
Robert Silverberg,Alfred Bester
Robert Silverberg,Andre Norton
Robert Silverberg,Anne McCaffrey
Robert Silverberg,Ben Bova
Robert Silverberg,C. J. Cherryh
Robert Silverberg,Clifford D. Simak
Robert Silverberg,Connie Willis
Robert Silverberg,David Brin
Robert Silverberg,Frederik Pohl
Robert Silverberg,Fritz Leiber
Robert Silverberg,Gene Wolfe
Robert Silverberg,George R. R. Martin
Robert Silverberg,Greg Bear
Robert Silverberg,Hal Clement
Robert Silverberg,Harry Harrison
Robert Silverberg,Isaac Asimov
Robert Silverberg,Jack Vance
Robert Silverberg,Jack Williamson
Robert Silverberg,Joe Haldeman
Robert Silverberg,L. Sprague de Camp
Robert Silverberg,Larry Niven
Robert Silverberg,Lester del Rey
Robert Silverberg,Marion Zimmer Bradley
Robert Silverberg,Peter S. Beagle
Robert Silverberg,Philip José Farmer
Robert Silverberg,Poul Anderson
Robert Silverberg,Ray Bradbury
Robert Silverberg,Raymond E. Feist
Robert Silverberg,Robert A. Heinlein
Robert Silverberg,Robert Asprin
Robert Silverberg,Ron Goulart
Robert Silverberg,Samuel R. Delany
Robert Silverberg,Ursula K. Le Guin
Robert Silverberg,William Gibson
Clifford D. Simak,Alfred Bester
Clifford D. Simak,Andre Norton
Clifford D. Simak,Anne McCaffrey
Clifford D. Simak,Anne Rice
Clifford D. Simak,C. J. Cherryh
Clifford D. Simak,Chelsea Quinn Yarbro
Clifford D. Simak,Connie Willis
Clifford D. Simak,E. E. Smith
Clifford D. Simak,Frank Belknap Long
Clifford D. Simak,Frederik Pohl
Clifford D. Simak,Fritz Leiber
Clifford D. Simak,Gene Wolfe
Clifford D. Simak,Hal Clement
Clifford D. Simak,Harry Harrison
Clifford D. Simak,Ira Levin
Clifford D. Simak,Isaac Asimov
Clifford D. Simak,Jack Ketchum
Clifford D. Simak,Jack Vance
Clifford D. Simak,Jack Williamson
Clifford D. Simak,Joe Haldeman
Clifford D. Simak,Joe R. Lansdale
Clifford D. Simak,John W. Campbell
Clifford D. Simak,Joyce Carol Oates
Clifford D. Simak,L. Sprague de Camp
Clifford D. Simak,Larry Niven
Clifford D. Simak,Lester del Rey
Clifford D. Simak,Peter S. Beagle
Clifford D. Simak,Peter Straub
Clifford D. Simak,Philip José Farmer
Clifford D. Simak,Poul Anderson
Clifford D. Simak,R. L. Stine
Clifford D. Simak,Ray Bradbury
Clifford D. Simak,Richard Matheson
Clifford D. Simak,Robert A. Heinlein
Clifford D. Simak,Robert Bloch
Clifford D. Simak,Robert A. Heinlein
Clifford D. Simak,Robert R. McCammon
Clifford D. Simak,Robert Silverberg
Clifford D. Simak,Samuel R. Delany
Clifford D. Simak,Stephen King
Clifford D. Simak,Thomas Harris
Clifford D. Simak,Ursula K. Le Guin
Clifford D. Simak,William Gibson
Clifford D. Simak,William Peter Blatty
Dan Simmons,Avram Davidson
Dan Simmons,Connie Willis
Dan Simmons,Fred Chappell
Dan Simmons,Fritz Leiber
Dan Simmons,George Saunders
Dan Simmons,Joe Haldeman
Dan Simmons,John M. Ford
Dan Simmons,Jonathan Carroll
Dan Simmons,Joyce Carol Oates
Dan Simmons,Karen Joy Fowler
Dan Simmons,Nancy Holder
Dan Simmons,Peter Straub
Dan Simmons,Robert R. McCammon
Dan Simmons,Stephen King
Dan Simmons,Steven Millhauser
Dan Simmons,Thomas Harris
William Gilmore Simms,Edgar Allan Poe
William Gilmore Simms,James Fenimore Cooper
Upton Sinclair,A. B. Guthrie Jr.
Upton Sinclair,Adam Johnson
Upton Sinclair,Alice Walker
Upton Sinclair,Alison Lurie
Upton Sinclair,Allen Drury
Upton Sinclair,Andrew Sean Greer
Upton Sinclair,Anne Tyler
Upton Sinclair,Annie Proulx
Upton Sinclair,Bernard Malamud
Upton Sinclair,Booth Tarkington
Upton Sinclair,Carol Shields
Upton Sinclair,Caroline Pafford Miller
Upton Sinclair,Colson Whitehead
Upton Sinclair,Conrad Richter
Upton Sinclair,Cormac McCarthy
Upton Sinclair,Dashiell Hammett
Upton Sinclair,Donna Tartt
Upton Sinclair,Edith Wharton
Upton Sinclair,Edna Ferber
Upton Sinclair,Edward Bellamy
Upton Sinclair,Edward P. Jones
Upton Sinclair,Edwin O'Connor
Upton Sinclair,Elizabeth Strout
Upton Sinclair,Ellen Glasgow
Upton Sinclair,Ernest Hemingway
Upton Sinclair,Ernest Poole
Upton Sinclair,Eudora Welty
Upton Sinclair,Geraldine Brooks
Upton Sinclair,H. L. Davis
Upton Sinclair,Harper Lee
Upton Sinclair,Harry Turtledove
Upton Sinclair,Herman Wouk
Upton Sinclair,Jack London
Upton Sinclair,James A. Michener
Upton Sinclair,James Agee
Upton Sinclair,James Gould Cozzens
Upton Sinclair,Jane Smiley
Upton Sinclair,Jean Stafford
Upton Sinclair,Jeffrey Eugenides
Upton Sinclair,Jennifer Egan
Upton Sinclair,Jhumpa Lahiri
Upton Sinclair,John Cheever
Upton Sinclair,John Hersey
Upton Sinclair,John Kennedy Toole
Upton Sinclair,John P. Marquand
Upton Sinclair,John Steinbeck
Upton Sinclair,John Updike
Upton Sinclair,Josephine Winslow Johnson
Upton Sinclair,Joyce Carol Oates
Upton Sinclair,Julia Peterkin
Upton Sinclair,Katherine Anne Porter
Upton Sinclair,Kenneth Fearing
Upton Sinclair,Larry McMurtry
Upton Sinclair,Louis Bromfield
Upton Sinclair,Louise Erdrich
Upton Sinclair,MacKinlay Kantor
Upton Sinclair,Margaret Ayer Barnes
Upton Sinclair,Margaret Mitchell
Upton Sinclair,Margaret Wilson
Upton Sinclair,Marilynne Robinson
Upton Sinclair,Marjorie Kinnan Rawlings
Upton Sinclair,Martin Flavin
Upton Sinclair,Michael Chabon
Upton Sinclair,Michael Cunningham
Upton Sinclair,Michael Shaara
Upton Sinclair,N. Scott Momaday
Upton Sinclair,Norman Mailer
Upton Sinclair,Oliver La Farge
Upton Sinclair,Oscar Hijuelos
Upton Sinclair,Paul Harding
Upton Sinclair,Pearl S. Buck
Upton Sinclair,Philip Roth
Upton Sinclair,Richard Ford
Upton Sinclair,Richard Powers
Upton Sinclair,Richard Russo
Upton Sinclair,Robert A. Heinlein
Upton Sinclair,Robert Lewis Taylor
Upton Sinclair,Robert Olen Butler
Upton Sinclair,Robert Penn Warren
Upton Sinclair,Saul Bellow
Upton Sinclair,Shirley Ann Grau
Upton Sinclair,Sinclair Lewis
Upton Sinclair,Steven Millhauser
Upton Sinclair,Theodore Dreiser
Upton Sinclair,T. S. Stribling
Upton Sinclair,Thornton Wilder
Upton Sinclair,Toni Morrison
Upton Sinclair,Wallace Stegner
Upton Sinclair,Willa Cather
Upton Sinclair,William Faulkner
Upton Sinclair,William Kennedy
Upton Sinclair,William Styron
Isaac Bashevis Singer,Abraham Cahan
Isaac Bashevis Singer,Alex Haley
Isaac Bashevis Singer,Bernard Malamud
Isaac Bashevis Singer,Conrad Richter
Isaac Bashevis Singer,Elizabeth Strout
Isaac Bashevis Singer,Ernest Hemingway
Isaac Bashevis Singer,Flannery O'Connor
Isaac Bashevis Singer,Gary Jennings
Isaac Bashevis Singer,Isaac Bashevis Singer
Isaac Bashevis Singer,Israel Joshua Singer
Isaac Bashevis Singer,J. F. Powers
Isaac Bashevis Singer,James Jones
Isaac Bashevis Singer,John Barth
Isaac Bashevis Singer,John Cheever
Isaac Bashevis Singer,John Williams
Isaac Bashevis Singer,John Grisham
Isaac Bashevis Singer,John O'Hara
Isaac Bashevis Singer,John Steinbeck
Isaac Bashevis Singer,John Updike
Isaac Bashevis Singer,Joyce Carol Oates
Isaac Bashevis Singer,Katherine Anne Porter
Isaac Bashevis Singer,Michael Connelly
Isaac Bashevis Singer,Nelson Algren
Isaac Bashevis Singer,Pearl S. Buck
Isaac Bashevis Singer,Philip Roth
Isaac Bashevis Singer,Ralph Ellison
Isaac Bashevis Singer,Saul Bellow
Isaac Bashevis Singer,Sinclair Lewis
Isaac Bashevis Singer,Thomas Pynchon
Isaac Bashevis Singer,Thornton Wilder
Isaac Bashevis Singer,Toni Morrison
Isaac Bashevis Singer,Walker Percy
Isaac Bashevis Singer,William Faulkner
Isaac Bashevis Singer,Wright Morris
Israel Joshua Singer,Abraham Cahan
Israel Joshua Singer,Isaac Bashevis Singer
Jane Smiley,A. B. Guthrie Jr.
Jane Smiley,Adam Johnson
Jane Smiley,Alice Walker
Jane Smiley,Alison Lurie
Jane Smiley,Allen Drury
Jane Smiley,Andrew Sean Greer
Jane Smiley,Anne Tyler
Jane Smiley,Annie Proulx
Jane Smiley,Bernard Malamud
Jane Smiley,Booth Tarkington
Jane Smiley,Carol Shields
Jane Smiley,Caroline Pafford Miller
Jane Smiley,Colson Whitehead
Jane Smiley,Conrad Richter
Jane Smiley,Cormac McCarthy
Jane Smiley,Donna Tartt
Jane Smiley,Edith Wharton
Jane Smiley,Edna Ferber
Jane Smiley,Edward P. Jones
Jane Smiley,Edwin O'Connor
Jane Smiley,Elizabeth Strout
Jane Smiley,Ellen Glasgow
Jane Smiley,Ernest Hemingway
Jane Smiley,Ernest Poole
Jane Smiley,Eudora Welty
Jane Smiley,Geraldine Brooks
Jane Smiley,H. L. Davis
Jane Smiley,Harper Lee
Jane Smiley,Herman Wouk
Jane Smiley,James A. Michener
Jane Smiley,James Agee
Jane Smiley,James Gould Cozzens
Jane Smiley,Jean Stafford
Jane Smiley,Jeffrey Eugenides
Jane Smiley,Jennifer Egan
Jane Smiley,Jhumpa Lahiri
Jane Smiley,John Cheever
Jane Smiley,John Hersey
Jane Smiley,John Kennedy Toole
Jane Smiley,John P. Marquand
Jane Smiley,John Steinbeck
Jane Smiley,John Updike
Jane Smiley,Jonathan Franzen
Jane Smiley,Josephine Winslow Johnson
Jane Smiley,Julia Peterkin
Jane Smiley,Katherine Anne Porter
Jane Smiley,Larry McMurtry
Jane Smiley,Louis Bromfield
Jane Smiley,Louise Erdrich
Jane Smiley,MacKinlay Kantor
Jane Smiley,Margaret Ayer Barnes
Jane Smiley,Margaret Mitchell
Jane Smiley,Margaret Wilson
Jane Smiley,Marilynne Robinson
Jane Smiley,Marjorie Kinnan Rawlings
Jane Smiley,Martin Flavin
Jane Smiley,Michael Chabon
Jane Smiley,Michael Cunningham
Jane Smiley,Michael Shaara
Jane Smiley,N. Scott Momaday
Jane Smiley,Norman Mailer
Jane Smiley,Oliver La Farge
Jane Smiley,Oscar Hijuelos
Jane Smiley,Paul Harding
Jane Smiley,Pearl S. Buck
Jane Smiley,Philip Roth
Jane Smiley,Richard Ford
Jane Smiley,Richard Powers
Jane Smiley,Richard Russo
Jane Smiley,Robert Lewis Taylor
Jane Smiley,Robert Olen Butler
Jane Smiley,Robert Penn Warren
Jane Smiley,Saul Bellow
Jane Smiley,Shirley Ann Grau
Jane Smiley,Sinclair Lewis
Jane Smiley,Steven Millhauser
Jane Smiley,T. S. Stribling
Jane Smiley,Thornton Wilder
Jane Smiley,Toni Morrison
Jane Smiley,Upton Sinclair
Jane Smiley,Wallace Stegner
Jane Smiley,Willa Cather
Jane Smiley,William Faulkner
Jane Smiley,William Kennedy
Jane Smiley,William Styron
Betty Smith,Joan Blondell
E. E. Smith,Clifford D. Simak
E. E. Smith,Edgar Allan Poe
E. E. Smith,Edgar Rice Burroughs
E. E. Smith,Frederik Pohl
E. E. Smith,H. P. Lovecraft
E. E. Smith,Harry Harrison
E. E. Smith,Jack Williamson
E. E. Smith,John W. Campbell
E. E. Smith,L. Sprague de Camp
E. E. Smith,Murray Leinster
E. E. Smith,Robert A. Heinlein
E. E. Smith,Sinclair Lewis
Elizabeth Oakes Smith,John Neal
H. Allen Smith,James Thurber
Lee Smith,Barbara Kingsolver
Lee Smith,Ellen Glasgow
Lee Smith,Mary Virginia Terhune
Lee Smith,Sharyn McCrumb
Lee Smith,Willa Cather
Thorne Smith,Dashiell Hammett
Thorne Smith,James Thurber
Paul Spencer Sochaczewski,Daniel Quinn
Paul Spencer Sochaczewski,Mark Twain
Paul Spencer Sochaczewski,Tom Wolfe
Susan Sontag,Adam Johnson
Susan Sontag,Colson Whitehead
Susan Sontag,Cynthia Ozick
Susan Sontag,Denis Johnson
Susan Sontag,Jonathan Franzen
Susan Sontag,Julia Glass
Susan Sontag,Louise Erdrich
Susan Sontag,Paul Auster
Susan Sontag,Peter Matthiessen
Susan Sontag,Philip Roth
Susan Sontag,Richard Ford
Susan Sontag,Richard Powers
Susan Sontag,Shirley Hazzard
Susan Sontag,Siri Hustvedt
Susan Sontag,Tom Wolfe
Susan Sontag,William T. Vollmann
Christopher Sorrentino,Gilbert Sorrentino
Christopher Sorrentino,Jonathan Lethem
Gilbert Sorrentino,Christopher Sorrentino
Gilbert Sorrentino,Hubert Selby Jr.
Gilbert Sorrentino,Jack Kerouac
Gilbert Sorrentino,Jeffrey Eugenides
Gilbert Sorrentino,Trey Ellis
Gary Soto,Al Young
Gary Soto,Alice McDermott
Gary Soto,Amiri Baraka
Gary Soto,Ana Castillo
Gary Soto,Chang-Rae Lee
Gary Soto,Chitra Banerjee Divakaruni
Gary Soto,David Wagoner
Gary Soto,Don DeLillo
Gary Soto,Edwidge Danticat
Gary Soto,Ernest Hemingway
Gary Soto,Gerald Vizenor
Gary Soto,Gloria Anzaldúa
Gary Soto,Gloria Naylor
Gary Soto,Isabel Allende
Gary Soto,J. California Cooper
Gary Soto,Jessica Hagedorn
Gary Soto,John A. Williams
Gary Soto,John Edgar Wideman
Gary Soto,John Steinbeck
Gary Soto,Josip Novakovich
Gary Soto,Joyce Carol Oates
Gary Soto,Karen Tei Yamashita
Gary Soto,Leslie Marmon Silko
Gary Soto,Louise Erdrich
Gary Soto,Luís Alberto Urrea
Gary Soto,May Sarton
Gary Soto,Paule Marshall
Gary Soto,Raymond Federman
Gary Soto,Ronald Sukenick
Gary Soto,Rudolfo Anaya
Gary Soto,Russell Banks
Gary Soto,Sandra Cisneros
Gary Soto,Sandra Scofield
Gary Soto,Sherman Alexie
Gary Soto,Terry McMillan
Gary Soto,Thornton Wilder
Gary Soto,Toni Cade Bambara
Gary Soto,Toni Morrison
Gary Soto,Trey Ellis
Gary Soto,William H. Gass
Gary Soto,William Kennedy
Terry Southern,Bruce Jay Friedman
Terry Southern,Christopher Isherwood
Terry Southern,George Plimpton
Terry Southern,Gore Vidal
Terry Southern,Jack Kerouac
Terry Southern,James Baldwin
Terry Southern,James Jones
Terry Southern,John Barth
Terry Southern,John P. Marquand
Terry Southern,Joseph Heller
Terry Southern,Nathanael West
Terry Southern,Nelson Algren
Terry Southern,Norman Mailer
Terry Southern,Peter Matthiessen
Terry Southern,Philip Roth
Terry Southern,Steve Martin
Terry Southern,Tom Wolfe
Terry Southern,Vladimir Nabokov
Terry Southern,William Faulkner
Terry Southern,William S. Burroughs
Terry Southern,William Styron
E. D. E. N. Southworth,Harriet Beecher Stowe
E. D. E. N. Southworth,Jack Finney
W. M. Spackman,John Updike
W. M. Spackman,Stanley Elkin
Scott Spencer,John Cheever
Scott Spencer,John Updike
Scott Spencer,Joyce Carol Oates
Mickey Spillane,Ayn Rand
Mickey Spillane,Jacqueline Susann
Mickey Spillane,Joe Haldeman
Mickey Spillane,Raymond Chandler
Mickey Spillane,Roger Zelazny
Mickey Spillane,Ross Macdonald
Mickey Spillane,Samuel R. Delany
Mickey Spillane,Terry Brooks
David Derek Stacton,Gore Vidal
David Derek Stacton,Jack London
David Derek Stacton,John Crowley
David Derek Stacton,Peter S. Beagle
David Derek Stacton,Thomas M. Disch
Jean Stafford,A. B. Guthrie Jr.
Jean Stafford,Adam Johnson
Jean Stafford,Alice Walker
Jean Stafford,Alison Lurie
Jean Stafford,Allen Drury
Jean Stafford,Andrew Sean Greer
Jean Stafford,Anne Tyler
Jean Stafford,Annie Proulx
Jean Stafford,Bernard Malamud
Jean Stafford,Booth Tarkington
Jean Stafford,Carol Shields
Jean Stafford,Caroline Pafford Miller
Jean Stafford,Colson Whitehead
Jean Stafford,Conrad Richter
Jean Stafford,Cormac McCarthy
Jean Stafford,Donna Tartt
Jean Stafford,Edith Wharton
Jean Stafford,Edna Ferber
Jean Stafford,Edward P. Jones
Jean Stafford,Edwin O'Connor
Jean Stafford,Elizabeth Strout
Jean Stafford,Ellen Glasgow
Jean Stafford,Ernest Hemingway
Jean Stafford,Ernest Poole
Jean Stafford,Eudora Welty
Jean Stafford,Geraldine Brooks
Jean Stafford,H. L. Davis
Jean Stafford,Harper Lee
Jean Stafford,Herman Wouk
Jean Stafford,James A. Michener
Jean Stafford,James Agee
Jean Stafford,James Gould Cozzens
Jean Stafford,Jane Smiley
Jean Stafford,Jeffrey Eugenides
Jean Stafford,Jennifer Egan
Jean Stafford,Jhumpa Lahiri
Jean Stafford,John Cheever
Jean Stafford,John Hersey
Jean Stafford,John Kennedy Toole
Jean Stafford,John P. Marquand
Jean Stafford,John Steinbeck
Jean Stafford,John Updike
Jean Stafford,Josephine Winslow Johnson
Jean Stafford,Julia Peterkin
Jean Stafford,Katherine Anne Porter
Jean Stafford,Larry McMurtry
Jean Stafford,Louis Bromfield
Jean Stafford,Louise Erdrich
Jean Stafford,MacKinlay Kantor
Jean Stafford,Margaret Ayer Barnes
Jean Stafford,Margaret Mitchell
Jean Stafford,Margaret Wilson
Jean Stafford,Marilynne Robinson
Jean Stafford,Marjorie Kinnan Rawlings
Jean Stafford,Martin Flavin
Jean Stafford,Michael Chabon
Jean Stafford,Michael Cunningham
Jean Stafford,Michael Shaara
Jean Stafford,N. Scott Momaday
Jean Stafford,Norman Mailer
Jean Stafford,Oliver La Farge
Jean Stafford,Oscar Hijuelos
Jean Stafford,Paul Harding
Jean Stafford,Pearl S. Buck
Jean Stafford,Philip Roth
Jean Stafford,Richard Ford
Jean Stafford,Richard Powers
Jean Stafford,Richard Russo
Jean Stafford,Robert Lewis Taylor
Jean Stafford,Robert Olen Butler
Jean Stafford,Robert Penn Warren
Jean Stafford,Saul Bellow
Jean Stafford,Shirley Ann Grau
Jean Stafford,Sinclair Lewis
Jean Stafford,Steven Millhauser
Jean Stafford,T. S. Stribling
Jean Stafford,Thornton Wilder
Jean Stafford,Toni Morrison
